OBJECTID,NAME,ADDRESS,PHONE,X,Y
1,Hutt  City Fire Station,"39 Marsden St, Alicetown", ,1758998.6726,5435982.1193
2,New Zealand Fire Service Newlands,"Newlands Road, Newlands",(04) 478 6088,1752761.0838,5434775.5856
3,New Zealand Fire Service Seaview,Park side rd lower hutt,(04) 568 5991,1760099.5278,5433148.8036
4,New Zealand Fire Service Silverstream,"Cnr Kiln & Field Streets, Silverstream, Upper Hutt",(04) 528 5220,1768612.0611,5442782.0559
5,New Zealand Fire Service Martinborough,"Texas Street, Martinborough",(06) 306 9601,1806280.4268,5434062.5752
6,New Zealand Fire Service Porirua,"10 Mungavin Avenue, Porirua",(04) 237 9903,1755027.9914,5444242.4746
7,New Zealand Fire Service Johnsonville,"13-15 Burgess Road, Johnsonville, Wellington",(04) 478 5007,1751594.4541,5435057.9696
8,New Zealand Fire Service Masterton,"2 Chapel Street, Masterton",(06) 370 9554,1824323.1356,5463784.7405
9,New Zealand Fire Service Rimutaka,"King Charles Drive, Upper Hutt",(04) 526 3078,1775033.1453,5445344.0452
10,New Zealand Fire Service Eastbourne,"Makaro Street, Eastbourne",(04) 562 7001,1758721.6742,5427113.4711
11,New Zealand Fire Service Plimmerton,"Sunset Parade, Plimmerton",(04) 233 8912,1756484.5337,5450391.278
12,New Zealand Fire Service Kilbirnie,"Troy Street, Kilbirnie, Wellington",(04) 387 3078,1750918.3189,5424345.4467
13,New Zealand Fire Service Wainuiomata,"Fitzherbert Road, Wainuiomata",(04) 564 8340,1763171.1307,5430879.9292
14,New Zealand Fire Service Brooklyn,"51 Cleveland Street, Brooklyn, Wellington",(04) 384 6513,1747677.753,5425824.7563
15,New Zealand Fire Service Paekakariki,"31 Tilley Road, Paekakariki",(04) 292 8001,1764445.2847,5460980.1826
16,New Zealand Fire Service Kandallah,"38 Agra Crescent, Khandallah, Wellington",(04) 479 6732,1750044.1189,5432392.1021
17,New Zealand Fire Service Karori,"84 Karori Road, Karori, Wellington",(04) 475 9313,1746614.5116,5428580.8775
18,New Zealand Fire Service Thorndon,"97 Thorndon Quay, Wellington",(04) 472 7531,1749332.6016,5429142.8774
19,New Zealand Fire Service Trentham,"545 Fergusson Drive, Upper Hutt",(04) 528 2088,1771464.6557,5444662.595
20,New Zealand Fire Service Paraparaumu,"Kapiti Road, Paraparaumu",(04) 296 1162,1768956.2501,5468716.0623
21,New Zealand Fire Service Otaki,"Mill Road, Otaki",(06) 364 7080,1780834.6593,5486396.7397
22,New Zealand Fire Service Tawa,"16 Lyndhurst Road, Tawa",(04) 232 7228,1752877.432,5440635.2902
23,New Zealand Fire Service City,"2-38 Oriental Parade, Courteney Place, Wellington",(04) 801 2144,1749444.3295,5427151.6701
24,New Zealand Fire Service Petone,"28 Buick Street, Petone",(04) 568 8657,1757704.6179,5434300.5898
25,New Zealand Fire Service Newtown,"318 Mansfield Street, Newtown, Wellington",(04) 389 4159,1749067.8639,5424388.1156
26,New Zealand Fire Service Waikanae,"353-355 Te Moana Road, Waikanae",(04) 293 6445,1772510.6366,5472756.6689
27,New Zealand Fire Service Stokes Valley,"374 Stokes Valley Road, Stokes Valley",(04) 563 7467,1766261.0872,5438937.8459
28,New Zealand Fire Service Greytown,"Main Road, Greytown",(06) 304 9401,1806648.1937,5449446.0527
29,New Zealand Fire Service Titahi Bay,"5 Te Pene Avenue, Titahi Bay",(04) 236 8073,1754205.3077,5447561.3003
30,New Zealand Fire Service Avalon,"955 High Street, Avalon, Lower Hutt", ,1763124.1822,5438021.1897
31,New Zealand Fire Service Carterton,"Main Road, Carterton",(06) 379 8300,1812433.0149,5455268.6512
32,New Zealand Fire Service Featherston,"46 Fox Street, Featherston",(06) 308 9550,1795298.7965,5445702.7161
